# Sanae · Italiano. One `English<TAB>Italiano` per line. Keys are the English strings in the code.
Store	Negozio
loading…	carico…
depends on	dipende da
optional	opzionali
build needs	per compilare
provides	fornisce
conflicts	conflitti
required by	richiesto da
optional for	opzionale per
no dependencies	nessuna dipendenza
green = installed	verde = installato
{} files	{} file
(only AUR packages have a PKGBUILD to show)	(solo i pacchetti AUR hanno un PKGBUILD da mostrare)
(AUR packages list their files only once installed)	(i pacchetti AUR elencano i file solo una volta installati)
 Made by Chidaruma · like it? star it at github.com/Chidaruma696	 Creato da Chidaruma · ti piace? una stella su github.com/Chidaruma696
shelves/apps	scaffali/app
move	sposta
mark	segna
install now	installa ora
open	apri
details	dettagli
apply queue	applica la coda
help	aiuto
quit	esci
type	scrivi
mark remove	segna da rimuovere
filter	filtro
queue orphans	orfani in coda
update everything	aggiorna tutto
reload	ricarica
apply	applica
drop line	togli la riga
clear	svuota
scroll	scorri
apply recipe	applica la ricetta
toggle / apply	attiva / applica
Check for a newer Sanae at start	Cerca un Sanae più recente all'avvio
Update Sanae now	Aggiorna Sanae adesso
AUR helper	Helper AUR
Administrator tool	Strumento di amministrazione
Nerd Font marks	Simboli Nerd Font
Language	Lingua
on	sì
off	no
{} available (you run v{})	{} disponibile (hai la v{})
v{} · Enter fetches the latest release	v{} · Invio scarica l'ultima versione
auto ({})	auto ({})
none found	nessuno trovato
auto (from the environment)	auto (dall'ambiente)
 Settings 	 Impostazioni 
 Enter toggles a setting or enables a source 	 Invio cambia un'impostazione o attiva una fonte 
Once every few hours Sanae asks GitHub whether a newer release exists and tells you in the status line. Nothing is downloaded until you ask.	Ogni qualche ora Sanae chiede a GitHub se esiste una versione più recente e te lo dice nella riga di stato. Non scarica nulla finché non lo chiedi.
Downloads the latest release binary and replaces this one (needs your password). Sanae is a single file, so this is the whole update.	Scarica il binario dell'ultima versione e sostituisce questo (serve la tua password). Sanae è un solo file, quindi questo è tutto l'aggiornamento.
The program that builds AUR packages for you: paru or yay. Auto picks whichever is installed.	Il programma che compila i pacchetti AUR per te: paru o yay. Auto sceglie quello installato.
How Sanae becomes root to run pacman: sudo or doas. Auto picks whichever is installed.	Come Sanae diventa root per eseguire pacman: sudo o doas. Auto sceglie quello installato.
Use Nerd Font glyphs for the marks in lists. Only if your terminal font has them.	Usa i glifi Nerd Font per i simboli nelle liste. Solo se il font del tuo terminale li ha.
The language of this interface. Auto follows the system language.	La lingua di questa interfaccia. Auto segue la lingua del sistema.
Already enabled.	Già attiva.
Not enabled. Enter enables it.	Non attiva. Invio la attiva.
Sanae and Reimu are made by Chidaruma. Do you like them? Visit github.com/Chidaruma696 and leave a star.	Sanae e Reimu sono creati da Chidaruma. Ti piacciono? Passa da github.com/Chidaruma696 e lascia una stella.
 About 	 Informazioni 
 step {}/{} 	 passo {}/{} 
 output 	 output 
 ✖ failed · Enter or Esc to go back 	 ✖ fallito · Invio o Esc per tornare 
 ✔ done · Enter or Esc to go back 	 ✔ fatto · Invio o Esc per tornare 
 running · type here to answer prompts (sudo password) · Ctrl+C cancels 	 in esecuzione · scrivi qui per rispondere alle richieste (password sudo) · Ctrl+C annulla 
tabs: Store · Search · Installed · Updates · Queue · Recipes · Settings	schede: Negozio · Cerca · Installati · Aggiornamenti · Coda · Ricette · Impostazioni · Darkside
search (Esc or Enter leaves the input)	cerca (Esc o Invio esce dal campo)
move · PgUp/PgDn · g/G first/last	sposta · PgSu/PgGiù · g/G primo/ultimo
Store: shelves / apps · elsewhere: scroll details	Negozio: scaffali / app · altrove: scorri i dettagli
mark for install (or remove, if installed)	segna da installare (o rimuovere, se installato)
mark for removal · in the queue: drop the line	segna da rimuovere · nella coda: togli la riga
install the selected package right now	installa subito il pacchetto selezionato
apply the queue	applica la coda
update everything (repos, then AUR)	aggiorna tutto (repository, poi AUR)
details: Info · Dependencies · Files · PKGBUILD	dettagli: Info · Dipendenze · File · PKGBUILD
Installed: filter · queue all orphans	Installati: filtro · metti in coda tutti gli orfani
reload the package databases	ricarica i database dei pacchetti
While a command runs, keys go to it (sudo asks there). Ctrl+C cancels.	Mentre un comando è in esecuzione, i tasti vanno a lui (sudo chiede lì). Ctrl+C annulla.
{} packages known · config: {}	{} pacchetti noti · config: {}
 Keys · any key closes 	 Tasti · qualsiasi tasto chiude 
Made by Chidaruma · github.com/Chidaruma696	Creato da Chidaruma · github.com/Chidaruma696
No AppStream data: install archlinux-appstream-data for the store shelves.	Nessun dato AppStream: installa archlinux-appstream-data per gli scaffali del negozio.
{} in the queue	{} in coda
Nothing to do.	Niente da fare.
Reading the package databases…	Leggo i database dei pacchetti…
Package databases reloaded.	Database dei pacchetti ricaricati.
Sanae {} is out: Settings (7) → Update Sanae now	È uscito Sanae {}: Impostazioni (7) → Aggiorna Sanae adesso
{} is already installed	{} è già installato
No orphans (or not checked yet: press f until 'orphans').	Nessun orfano (o non ancora controllato: premi f fino a 'orfani').
{} orphans queued for removal	{} orfani in coda per la rimozione
The queue is empty: mark packages with space.	La coda è vuota: segna i pacchetti con spazio.
{} news items ask for attention; read them on the Updates tab	{} notizie chiedono attenzione; leggile nella scheda Aggiornamenti
Settings saved.	Impostazioni salvate.
could not save the settings: {}	impossibile salvare le impostazioni: {}
Installing {}	Installo {}
Applying the queue	Applico la coda
Updating the system	Aggiorno il sistema
Recipe: {}	Ricetta: {}
Updating Sanae	Aggiorno Sanae
Downloading the latest Sanae…	Scarico l'ultimo Sanae…
update: {}	aggiornamento: {}
⬆ Sanae {} is out · 7 → Update Sanae now 	⬆ È uscito Sanae {} · 7 → Aggiorna Sanae adesso 
queue the group	metti in coda il gruppo
{} tools queued	{} strumenti in coda
Purple team	Purple team
detection, forensics and hardening · from any repository	rilevamento, forense e hardening · da qualsiasi repository
by popularity · A queues the whole group · Esc back	per popolarità · A mette in coda tutto il gruppo · Esc torna
 ☠ Darkside · {} · {} tools 	 ☠ Darkside · {} · {} strumenti 
Darkside: with the BlackArch repository enabled, a ☠ shelf in the Store lists its tools by group · Enter opens a group, A queues it	Darkside: con il repository BlackArch attivo, uno scaffale ☠ nel Negozio elenca i suoi strumenti per gruppo · Invio apre un gruppo, A lo mette in coda
 ☠ Darkside · {} groups 	 ☠ Darkside · {} gruppi 
BlackArch tools · Enter opens a group	strumenti BlackArch · Invio apre un gruppo
back	indietro
Flatpak · Chaotic-AUR · BlackArch…	Flatpak · Chaotic-AUR · BlackArch…
{} enabled	{} attive
Package sources ▸	Fonti di software ▸
Package sources	Fonti di software
 Package sources · Enter enables one · Esc back 	 Fonti di software · Invio ne attiva una · Esc torna 
 Enter changes a setting or opens the sources 	 Invio cambia un'impostazione o apre le fonti 
change / open	cambia / apri
enable	attiva
⚠ These are not reviewed by Arch Linux. A package from them can break an update or ship anything.	⚠ Arch Linux non le controlla. Un pacchetto da lì può rompere un aggiornamento o contenere qualsiasi cosa.
  Enable only what you understand, and read PKGBUILDs before building.	  Attiva solo ciò che capisci e leggi i PKGBUILD prima di compilare.
Extra places to install software from, each off by default. Enter opens the list; every one explains what it is and what it is good for before you turn it on.	Posti in più da cui installare software, tutti spenti di default. Invio apre la lista; ognuno spiega cos'è e a cosa serve prima di attivarlo.
 is the handy one; 	 è quella comoda; 
 is only for security work.	 serve solo al lavoro di sicurezza.
The one most people want. Thousands of AUR programs already compiled by its maintainers, so browsers, editors, games and drivers install in seconds instead of building for minutes. Widely used and handy; still a third party, so a package could break an update.	Quella che vogliono quasi tutti. Migliaia di programmi dell'AUR già compilati dai suoi manutentori, così browser, editor, giochi e driver si installano in secondi invece di compilare per minuti. Molto usata e comoda; resta di terze parti, quindi un pacchetto potrebbe rompere un aggiornamento.
Flatpak with Flathub: desktop apps that run sandboxed, apart from the system, and update on their own. Good for closed-source or GUI apps you want kept separate from pacman. Built by their publishers, not by Arch.	Flatpak con Flathub: app desktop che girano isolate dal sistema e si aggiornano da sole. Buona per app closed-source o grafiche da tenere separate da pacman. Fatte dai loro autori, non da Arch.
Canonical's take on the same idea, from the AUR. On Arch it has fewer apps than Flatpak and is heavier; enable it only if a program you need ships as a snap and nothing else.	La versione di Canonical della stessa idea, dall'AUR. Su Arch ha meno app di Flatpak ed è più pesante; attivala solo se un programma che ti serve esiste solo come snap.
A desktop-tuned kernel (linux-lqx) for smoother audio, gaming and video when the machine is busy. Nice on a workstation, but you must add it to your bootloader after installing. A third-party kernel.	Un kernel messo a punto per il desktop (linux-lqx), per audio, giochi e video più fluidi quando la macchina è sotto carico. Bene su una workstation, ma dopo l'installazione va aggiunto al bootloader. Kernel di terze parti.
Arch's own packages rebuilt for newer CPUs (x86-64-v3 or v4) for a small speed gain. Helps only on a 2015-or-later CPU and is safe to skip. Community project; its packages lag Arch by a few hours.	I pacchetti di Arch ricompilati per CPU più recenti (x86-64-v3 o v4) per un piccolo guadagno di velocità. Aiuta solo su una CPU dal 2015 in poi e si può saltare senza problemi. Progetto comunitario; i suoi pacchetti restano indietro di qualche ora rispetto ad Arch.
Adds 2 800+ security and penetration-testing tools: scanners, exploits, forensics, wireless. It is meant for security work, the tools are dual-use, and the repository is large. If you are not sure you want it, you do not need it. Once enabled, the ☠ Darkside shelf in the Store lists these tools by group.	Aggiunge oltre 2 800 strumenti di sicurezza e penetration testing: scanner, exploit, forense, wireless. È pensato per il lavoro di sicurezza, gli strumenti sono a doppio uso e il repository è enorme. Se non sei sicuro di volerlo, non ti serve. Una volta attivo, lo scaffale ☠ Darkside del Negozio elenca questi strumenti per gruppo.
