# Sanae · Português. One `English<TAB>Português` per line. Keys are the English strings in the code.
Store	Loja
  A package from them can break an update or ship anything. Enable only what you understand, and read PKGBUILDs before building.	  Um pacote de lá pode quebrar uma atualização ou trazer qualquer coisa. Ative só o que entende e leia os PKGBUILDs antes de compilar.
Sanae and Reimu are made by Chidaruma. Do you like them? Visit github.com/Chidaruma696 and leave a star.	O Sanae e o Reimu são feitos por Chidaruma. Gostou? Visite github.com/Chidaruma696 e deixe uma estrela.
 About 	 Sobre 
 step {}/{} 	 passo {}/{} 
 output 	 saída 
 ✖ failed · Enter or Esc to go back 	 ✖ falhou · Enter ou Esc para voltar 
 ✔ done · Enter or Esc to go back 	 ✔ pronto · Enter ou Esc para voltar 
 running · type here to answer prompts (sudo password) · Ctrl+C cancels 	 rodando · digite aqui para responder (senha do sudo) · Ctrl+C cancela 
tabs: Store · Search · Installed · Updates · Queue · Recipes · Settings	abas: Loja · Buscar · Instalados · Atualizações · Fila · Receitas · Configurações · Darkside
search (Esc or Enter leaves the input)	buscar (Esc ou Enter sai do campo)
move · PgUp/PgDn · g/G first/last	mover · PgUp/PgDn · g/G primeiro/último
Store: shelves / apps · elsewhere: scroll details	Loja: prateleiras / apps · em outro lugar: rola os detalhes
mark for install (or remove, if installed)	marcar para instalar (ou remover, se instalado)
mark for removal · in the queue: drop the line	marcar para remover · na fila: tira a linha
install the selected package right now	instalar o pacote selecionado agora mesmo
apply the queue	aplicar a fila
update everything (repos, then AUR)	atualizar tudo (repositórios, depois AUR)
details: Info · Dependencies · Files · PKGBUILD	detalhes: Info · Dependências · Arquivos · PKGBUILD
Installed: filter · queue all orphans	Instalados: filtro · pôr todos os órfãos na fila
reload the package databases	recarregar os bancos de pacotes
Settings: self-update, AUR helper, Flatpak, Snap, extra repositories	Configurações: autoatualização, ajudante do AUR, Flatpak, Snap, repositórios extras
While a command runs, keys go to it (sudo asks there). Ctrl+C cancels.	Enquanto um comando roda, as teclas vão para ele (o sudo pergunta ali). Ctrl+C cancela.
{} packages known · config: {}	{} pacotes conhecidos · config: {}
 Keys · any key closes 	 Teclas · qualquer tecla fecha 
Made by Chidaruma · github.com/Chidaruma696	Feito por Chidaruma · github.com/Chidaruma696
No AppStream data: install archlinux-appstream-data for the store shelves.	Sem dados AppStream: instale archlinux-appstream-data para as prateleiras da loja.
{} in the queue	{} na fila
Nothing to do.	Nada a fazer.
Reading the package databases…	Lendo os bancos de pacotes…
Package databases reloaded.	Bancos de pacotes recarregados.
Sanae {} is out: Settings (7) → Update Sanae now	Saiu o Sanae {}: Configurações (7) → Atualizar o Sanae agora
{} is already installed	{} já está instalado
No orphans (or not checked yet: press f until 'orphans').	Nenhum órfão (ou ainda não verificado: pressione f até 'órfãos').
{} orphans queued for removal	{} órfãos na fila para remoção
The queue is empty: mark packages with space.	A fila está vazia: marque pacotes com espaço.
{} news items ask for attention; read them on the Updates tab	{} notícias pedem atenção; leia na aba Atualizações
Settings saved.	Configurações salvas.
could not save the settings: {}	não foi possível salvar as configurações: {}
Installing {}	Instalando {}
Applying the queue	Aplicando a fila
Updating the system	Atualizando o sistema
Recipe: {}	Receita: {}
Updating Sanae	Atualizando o Sanae
Downloading the latest Sanae…	Baixando o Sanae mais recente…
update: {}	atualização: {}
⬆ Sanae {} is out · 7 → Update Sanae now 	⬆ Saiu o Sanae {} · 7 → Atualizar o Sanae agora 
queue the group	pôr o grupo na fila
{} tools queued	{} ferramentas na fila
Purple team	Time roxo
detection, forensics and hardening · from any repository	detecção, forense e hardening · de qualquer repositório
by popularity · A queues the whole group · Esc back	por popularidade · A põe o grupo inteiro na fila · Esc volta
 ☠ Darkside · {} · {} tools 	 ☠ Darkside · {} · {} ferramentas 
Darkside: with the BlackArch repository enabled, a ☠ shelf in the Store lists its tools by group · Enter opens a group, A queues it	Darkside: com o repositório BlackArch ativo, uma prateleira ☠ na Loja lista suas ferramentas por grupo · Enter abre um grupo, A põe ele todo na fila
 ☠ Darkside · {} groups 	 ☠ Darkside · {} grupos 
BlackArch tools · Enter opens a group	ferramentas do BlackArch · Enter abre um grupo
back	voltar
