# Sanae · Français. One `English<TAB>Français` per line. Keys are the English strings in the code.
Store	Boutique
No orphans (or not checked yet: press f until 'orphans').	Aucun orphelin (ou pas encore vérifié : appuyez sur f jusqu'à « orphelins »).
{} orphans queued for removal	{} orphelins en file pour retrait
The queue is empty: mark packages with space.	La file est vide : marquez des paquets avec espace.
{} news items ask for attention; read them on the Updates tab	{} actualités demandent votre attention ; lisez-les dans l'onglet Mises à jour
Settings saved.	Réglages enregistrés.
could not save the settings: {}	impossible d'enregistrer les réglages : {}
Installing {}	Installation de {}
Applying the queue	Application de la file
Updating the system	Mise à jour du système
Recipe: {}	Recette : {}
Updating Sanae	Mise à jour de Sanae
Downloading the latest Sanae…	Téléchargement du dernier Sanae…
update: {}	mise à jour : {}
⬆ Sanae {} is out · 7 → Update Sanae now 	⬆ Sanae {} est sorti · 7 → Mettre à jour Sanae maintenant 
 Groups 	 Groupes 
 {} · {} tools 	 {} · {} outils 
groups/tools	groupes/outils
queue the group	mettre le groupe en file
{} tools queued	{} outils en file
Purple team	Équipe violette
detection, forensics and hardening · from any repository	détection, forensique et durcissement · de n'importe quel dépôt
by popularity · A queues the whole group	par popularité · A met tout le groupe en file
No BlackArch tools found. Press r to reload the databases.	Aucun outil BlackArch trouvé. Appuyez sur r pour recharger les bases.
Darkside: BlackArch tools by group · appears once the BlackArch repository is enabled	Darkside : outils BlackArch par groupe · apparaît une fois le dépôt BlackArch activé
