# Sanae · Русский. One `English<TAB>Русский` per line. Keys are the English strings in the code.
Store	Магазин
The language of this interface. Auto follows the system language.	Язык этого интерфейса. «Авто» следует языку системы.
\nAlready enabled.	\nУже включён.
\nNot enabled. Enter enables it.	\nНе включён. Enter включит.
⚠ Third-party repositories, the AUR, Flatpak and Snap are not reviewed by Arch Linux.	⚠ Сторонние репозитории, AUR, Flatpak и Snap не проверяются Arch Linux.
  A package from them can break an update or ship anything. Enable only what you understand, and read PKGBUILDs before building.	  Пакет оттуда может сломать обновление или содержать что угодно. Включайте только то, что понимаете, и читайте PKGBUILD перед сборкой.
Sanae and Reimu are made by Chidaruma. Do you like them? Visit github.com/Chidaruma696 and leave a star.	Sanae и Reimu созданы Chidaruma. Понравилось? Загляните на github.com/Chidaruma696 и поставьте звезду.
 About 	 О программе 
 step {}/{} 	 шаг {}/{} 
 output 	 вывод 
 ✖ failed · Enter or Esc to go back 	 ✖ ошибка · Enter или Esc — назад 
 ✔ done · Enter or Esc to go back 	 ✔ готово · Enter или Esc — назад 
 running · type here to answer prompts (sudo password) · Ctrl+C cancels 	 выполняется · вводите здесь ответы на запросы (пароль sudo) · Ctrl+C — отмена 
tabs: Store · Search · Installed · Updates · Queue · Recipes · Settings	вкладки: Магазин · Поиск · Установлено · Обновления · Очередь · Рецепты · Настройки · Darkside
search (Esc or Enter leaves the input)	поиск (Esc или Enter выходит из поля ввода)
move · PgUp/PgDn · g/G first/last	перемещение · PgUp/PgDn · g/G — первый/последний
Store: shelves / apps · elsewhere: scroll details	Магазин: полки / приложения · в других местах: прокрутка подробностей
mark for install (or remove, if installed)	отметить на установку (или удаление, если установлен)
mark for removal · in the queue: drop the line	отметить на удаление · в очереди: убрать строку
install the selected package right now	установить выбранный пакет прямо сейчас
apply the queue	применить очередь
update everything (repos, then AUR)	обновить всё (репозитории, затем AUR)
details: Info · Dependencies · Files · PKGBUILD	подробности: Инфо · Зависимости · Файлы · PKGBUILD
Installed: filter · queue all orphans	Установлено: фильтр · все сироты в очередь
reload the package databases	перечитать базы пакетов
Settings: self-update, AUR helper, Flatpak, Snap, extra repositories	Настройки: самообновление, AUR-помощник, Flatpak, Snap, дополнительные репозитории
While a command runs, keys go to it (sudo asks there). Ctrl+C cancels.	Пока выполняется команда, клавиши идут ей (sudo спрашивает там). Ctrl+C — отмена.
{} packages known · config: {}	известно пакетов: {} · конфигурация: {}
 Keys · any key closes 	 Клавиши · любая клавиша закрывает 
Made by Chidaruma · github.com/Chidaruma696	Автор: Chidaruma · github.com/Chidaruma696
No AppStream data: install archlinux-appstream-data for the store shelves.	Нет данных AppStream: установите archlinux-appstream-data для полок магазина.
{} in the queue	в очереди: {}
Nothing to do.	Нечего делать.
Reading the package databases…	Чтение баз пакетов…
Package databases reloaded.	Базы пакетов перечитаны.
Sanae {} is out: Settings (7) → Update Sanae now	Вышел Sanae {}: Настройки (7) → Обновить Sanae сейчас
{} is already installed	{} уже установлен
No orphans (or not checked yet: press f until 'orphans').	Сирот нет (или ещё не проверено: нажимайте f до «сироты»).
{} orphans queued for removal	сирот в очереди на удаление: {}
The queue is empty: mark packages with space.	Очередь пуста: отметьте пакеты пробелом.
{} news items ask for attention; read them on the Updates tab	новостей требуют внимания: {}; прочитайте их на вкладке «Обновления»
Settings saved.	Настройки сохранены.
could not save the settings: {}	не удалось сохранить настройки: {}
Installing {}	Установка {}
Applying the queue	Применение очереди
Updating the system	Обновление системы
Recipe: {}	Рецепт: {}
Updating Sanae	Обновление Sanae
Downloading the latest Sanae…	Загрузка последней версии Sanae…
update: {}	обновление: {}
⬆ Sanae {} is out · 7 → Update Sanae now 	⬆ Вышел Sanae {} · 7 → Обновить Sanae сейчас 
queue the group	группу в очередь
{} tools queued	инструментов в очереди: {}
Purple team	Фиолетовая команда
detection, forensics and hardening · from any repository	обнаружение, форензика и защита · из любого репозитория
by popularity · A queues the whole group	по популярности · A ставит всю группу в очередь
 ☠ Darkside · {} · {} tools 	 ☠ Darkside · {} · {} инструментов 
Darkside: with the BlackArch repository enabled, its tools by group as Store shelves · A queues a whole group	Darkside: при включённом репозитории BlackArch его инструменты по группам появляются как полки Магазина · A ставит всю группу в очередь
